infinitiv,präteritum,particip_ii,translation
bringen,brachte,gebracht,bring
denken,dachte,gedacht,think
haben,hatte,gehabt,have
kennen,kannte,gekannt,know
nennen,nannte,genannt,call
wissen,wusste,gewusst,"to know"
