infinitiv,präteritum,particip_ii,translation
gehen,ging,gegangen,go
kommen,kam,gekommen,come
sein,war,gewesen,be
stehen,stand,gestanden,stay(vertical)
tun,tat,getan,"to do"
werden,wurde,geworden,become

